Date,Open,High,Low,Close,Adj Close,Volume
2022-11-17,0.061887,0.062131,0.059887,0.060557,0.060557,14760127
2022-11-18,0.060554,0.061756,0.059836,0.060506,0.060506,12598226
2022-11-19,0.060500,0.060519,0.058768,0.060005,0.060005,12604179
2022-11-20,0.060004,0.060602,0.056747,0.056921,0.056921,16819169
2022-11-21,0.056918,0.057319,0.052769,0.053874,0.053874,21157653
2022-11-22,0.053858,0.055240,0.051965,0.054980,0.054980,17143176
2022-11-23,0.054991,0.069616,0.054661,0.062097,0.062097,68312292
2022-11-24,0.062105,0.063003,0.059694,0.062226,0.062226,30918235
2022-11-25,0.062224,0.064453,0.060080,0.062416,0.062416,37591633
2022-11-26,0.062396,0.065598,0.062380,0.062971,0.062971,40468688
2022-11-27,0.062963,0.066323,0.062946,0.062987,0.062987,41089008
2022-11-28,0.063013,0.063251,0.059246,0.062228,0.062228,25457094
2022-11-29,0.062233,0.063731,0.061701,0.062625,0.062625,22877182
2022-11-30,0.062642,0.064865,0.061823,0.064658,0.064658,20021601
2022-12-01,0.064668,0.065004,0.063329,0.064267,0.064267,16133692
2022-12-02,0.064296,0.065177,0.063274,0.064991,0.064991,16459709
2022-12-03,0.065005,0.066113,0.062905,0.062905,0.062905,11775905
2022-12-04,0.062903,0.064133,0.062886,0.064107,0.064107,22370221
2022-12-05,0.064096,0.065605,0.063474,0.064082,0.064082,15940552
2022-12-06,0.064081,0.064809,0.063255,0.064230,0.064230,16065311
2022-12-07,0.064230,0.064305,0.061046,0.061685,0.061685,14661531
2022-12-08,0.061685,0.063790,0.061385,0.063617,0.063617,15222083
2022-12-09,0.063618,0.070020,0.063262,0.065423,0.065423,44451350
2022-12-10,0.065426,0.074823,0.065344,0.072278,0.072278,97124126
2022-12-11,0.072274,0.072274,0.068913,0.069559,0.069559,32252208
2022-12-12,0.069555,0.069882,0.066183,0.068028,0.068028,25633892
2022-12-13,0.068011,0.069025,0.065570,0.067017,0.067017,24774412
2022-12-14,0.067023,0.068253,0.065365,0.065712,0.065712,21670048
2022-12-15,0.065714,0.066829,0.063602,0.063799,0.063799,16025151
2022-12-16,0.063792,0.064681,0.055397,0.056209,0.056209,21968377
2022-12-17,0.056198,0.057989,0.055269,0.057956,0.057956,13378522
2022-12-18,0.057942,0.058070,0.057207,0.057611,0.057611,7321479
2022-12-19,0.057612,0.058624,0.054204,0.054951,0.054951,14484352
2022-12-20,0.054953,0.057748,0.054940,0.057551,0.057551,10704194
2022-12-21,0.057538,0.057968,0.056451,0.057298,0.057298,10936356
2022-12-22,0.057305,0.058627,0.056883,0.058429,0.058429,13756188
2022-12-23,0.058439,0.058928,0.057977,0.058442,0.058442,9922642
2022-12-24,0.058439,0.058477,0.057505,0.057942,0.057942,7477485
2022-12-25,0.057940,0.058051,0.055714,0.057824,0.057824,11754484
2022-12-26,0.057824,0.060864,0.057624,0.060025,0.060025,26415552
2022-12-27,0.060031,0.060504,0.058499,0.059408,0.059408,13498911
2022-12-28,0.059405,0.059611,0.055842,0.055922,0.055922,14468585
2022-12-29,0.055932,0.056792,0.054066,0.055260,0.055260,13189546
2022-12-30,0.055247,0.055678,0.054144,0.055210,0.055210,14556395
2022-12-31,0.055216,0.056135,0.054964,0.055384,0.055384,10129338
2023-01-01,0.055377,0.056520,0.055305,0.056514,0.056514,9026736
2023-01-02,0.056519,0.059750,0.055708,0.059466,0.059466,14842862
2023-01-03,0.059462,0.060818,0.058735,0.060023,0.060023,14777976
2023-01-04,0.060023,0.061985,0.059997,0.061101,0.061101,17707977
2023-01-05,0.061100,0.062154,0.060031,0.060672,0.060672,13424187
2023-01-06,0.060676,0.062358,0.058337,0.061997,0.061997,18719684
2023-01-07,0.061996,0.064235,0.061333,0.064177,0.064177,15267774
2023-01-08,0.064153,0.070854,0.062303,0.069988,0.069988,86173018
2023-01-09,0.069984,0.073553,0.069054,0.070939,0.070939,46932846
2023-01-10,0.070928,0.074295,0.068940,0.072750,0.072750,35175555
2023-01-11,0.072759,0.073094,0.068470,0.072218,0.072218,31970196
2023-01-12,0.073202,0.074268,0.069210,0.073502,0.073502,40839325
2023-01-13,0.073486,0.077014,0.071482,0.076472,0.076472,51455510
2023-01-14,0.076494,0.083248,0.075284,0.082183,0.082183,69303678
2023-01-15,0.082199,0.088914,0.077909,0.085018,0.085018,81260539
2023-01-16,0.085045,0.087928,0.080142,0.081616,0.081616,45433858
2023-01-17,0.081639,0.085458,0.080613,0.081217,0.081217,38468648
2023-01-18,0.081196,0.082095,0.074339,0.074764,0.074764,51097611
2023-01-19,0.074757,0.078278,0.074089,0.078045,0.078045,27972748
2023-01-20,0.078024,0.084377,0.077130,0.084095,0.084095,36242739
2023-01-21,0.084100,0.086328,0.082648,0.082651,0.082651,42158397
2023-01-22,0.082602,0.087307,0.081018,0.083030,0.083030,37625108
2023-01-23,0.083019,0.092419,0.083019,0.089990,0.089990,63742026
2023-01-24,0.089975,0.096303,0.088191,0.089748,0.089748,60268736
2023-01-25,0.089717,0.095070,0.085287,0.091728,0.091728,58855864
2023-01-26,0.091724,0.093310,0.089171,0.091980,0.091980,45288884
2023-01-27,0.092003,0.096549,0.089703,0.095164,0.095164,48991309
2023-01-28,0.095250,0.097532,0.092142,0.092743,0.092743,29467047
2023-01-29,0.092759,0.096766,0.091708,0.096448,0.096448,27701512
2023-01-30,0.096463,0.096637,0.085537,0.087029,0.087029,43782707
2023-01-31,0.087034,0.090235,0.086983,0.088825,0.088825,29420165
2023-02-01,0.088807,0.093907,0.083805,0.093128,0.093128,48610259
2023-02-02,0.093126,0.100862,0.092975,0.095134,0.095134,58610958
2023-02-03,0.095101,0.101033,0.093770,0.098755,0.098755,51486291
2023-02-04,0.098865,0.115315,0.097664,0.113266,0.113266,120978510
2023-02-05,0.113302,0.132310,0.110522,0.132187,0.132187,271608482
2023-02-06,0.132251,0.137593,0.126487,0.129232,0.129232,223369283
2023-02-07,0.129181,0.228554,0.129107,0.206254,0.206254,1128102828
2023-02-08,0.206492,0.209596,0.172216,0.175203,0.175203,611495910
2023-02-09,0.175210,0.186127,0.142463,0.147407,0.147407,416149851
2023-02-10,0.147419,0.173507,0.144999,0.166343,0.166343,389979860
2023-02-11,0.166380,0.166832,0.157130,0.161928,0.161928,168758936
2023-02-12,0.161908,0.168382,0.152681,0.154209,0.154209,167112226
2023-02-13,0.154216,0.155819,0.140571,0.147627,0.147627,134535076
2023-02-14,0.147578,0.174069,0.145629,0.169192,0.169192,279879583
2023-02-15,0.169202,0.186150,0.165832,0.185352,0.185352,272748792
2023-02-16,null,null,null,null,null,null
2023-02-17,0.163662,0.168051,0.163662,0.167718,0.167718,226661024
